title,wikipedia_link
Brainiac: Science Abuse,https://en.wikipedia.org/wiki/Brainiac:_Science_Abuse
Horrible Histories,https://en.wikipedia.org/wiki/Horrible_Histories_(2009_TV_series)
Operation Ouch!,https://en.wikipedia.org/wiki/Operation_Ouch!
Freaks and Geeks,https://en.wikipedia.org/wiki/Freaks_and_Geeks
Danger Mouse,https://en.wikipedia.org/wiki/Danger_Mouse_(2015_TV_series)
OOglies,https://en.wikipedia.org/wiki/OOglies
The Cramp Twins,https://en.wikipedia.org/wiki/The_Cramp_Twins
Robotboy,https://en.wikipedia.org/wiki/Robotboy
Kid vs. Kat,https://en.wikipedia.org/wiki/Kid_vs._Kat
Johnny Test,https://en.wikipedia.org/wiki/Johnny_Test
¡Mucha Lucha!,https://en.wikipedia.org/wiki/%C2%A1Mucha_Lucha!
Wallace & Gromit's Cracking Contraptions,https://en.wikipedia.org/wiki/Wallace_and_Gromit%27s_Cracking_Contraptions
Wallace and Gromit's World of Invention,https://en.wikipedia.org/wiki/Wallace_and_Gromit%27s_World_of_Invention
Shaun the Sheep,https://en.wikipedia.org/wiki/Shaun_the_Sheep
Timmy Time,https://en.wikipedia.org/wiki/Timmy_Time
Bluey,https://en.wikipedia.org/wiki/Bluey_(2018_TV_series)
Little Einsteins,https://en.wikipedia.org/wiki/Little_Einsteins
Sesame Street,https://en.wikipedia.org/wiki/Sesame_Street
Arthur,https://en.wikipedia.org/wiki/Arthur_(TV_series)
Bill Nye the Science Guy,https://en.wikipedia.org/wiki/Bill_Nye_the_Science_Guy
Pingu,https://en.wikipedia.org/wiki/Pingu
Charlie and Lola,https://en.wikipedia.org/wiki/Charlie_and_Lola_(TV_series)
SpongeBob SquarePants,https://en.wikipedia.org/wiki/SpongeBob_SquarePants
Dora the Explorer,https://en.wikipedia.org/wiki/Dora_the_Explorer
Blue's Clues,https://en.wikipedia.org/wiki/Blue%27s_Clues
Backyard Science,https://en.wikipedia.org/wiki/Backyard_Science
Art Attack,https://en.wikipedia.org/wiki/Art_Attack
Phineas and Ferb,https://en.wikipedia.org/wiki/Phineas_and_Ferb
Power Rangers,https://en.wikipedia.org/wiki/Power_Rangers
The Story of Tracy Beaker,https://en.wikipedia.org/wiki/The_Story_of_Tracy_Beaker_(TV_series)
Tracy Beaker Returns,https://en.wikipedia.org/wiki/Tracy_Beaker_Returns
The Dumping Ground,https://en.wikipedia.org/wiki/The_Dumping_Ground
The Sarah Jane Adventures,https://en.wikipedia.org/wiki/The_Sarah_Jane_Adventures
Dani's House,https://en.wikipedia.org/wiki/Dani%27s_House
Drake & Josh,https://en.wikipedia.org/wiki/Drake_%26_Josh
iCarly,https://en.wikipedia.org/wiki/ICarly
Victorious,https://en.wikipedia.org/wiki/Victorious
That's So Raven,https://en.wikipedia.org/wiki/That%27s_So_Raven
Raven's Home,https://en.wikipedia.org/wiki/Raven%27s_Home
The Suite Life of Zack & Cody,https://en.wikipedia.org/wiki/The_Suite_Life_of_Zack_%26_Cody
The Suite Life on Deck,https://en.wikipedia.org/wiki/The_Suite_Life_on_Deck
Wizards of Waverly Place,https://en.wikipedia.org/wiki/Wizards_of_Waverly_Place
Good Luck Charlie,https://en.wikipedia.org/wiki/Good_Luck_Charlie
4 O'Clock Club,https://en.wikipedia.org/wiki/4_O%27Clock_Club
"Scooby-Doo, Where Are You!","https://en.wikipedia.org/wiki/Scooby-Doo,_Where_Are_You!"
The New Scooby-Doo Movies,https://en.wikipedia.org/wiki/The_New_Scooby-Doo_Movies
"What's New, Scooby-Doo?","https://en.wikipedia.org/wiki/What%27s_New,_Scooby-Doo%3F"
Scooby-Doo! Mystery Incorporated,https://en.wikipedia.org/wiki/Scooby-Doo!_Mystery_Incorporated
Come Outside,https://en.wikipedia.org/wiki/Come_Outside
Recess,https://en.wikipedia.org/wiki/Recess_(TV_series)
The New Adventures of Winnie the Pooh,https://en.wikipedia.org/wiki/The_New_Adventures_of_Winnie_the_Pooh
Little Bill,https://en.wikipedia.org/wiki/Little_Bill
Nina and the Neurons,https://en.wikipedia.org/wiki/Nina_and_the_Neurons
The Magic School Bus,https://en.wikipedia.org/wiki/The_Magic_School_Bus
Mister Rogers' Neighborhood,https://en.wikipedia.org/wiki/Mister_Rogers%27_Neighborhood
Numberjacks,https://en.wikipedia.org/wiki/Numberjacks
Octonauts,https://en.wikipedia.org/wiki/Octonauts
Something Special,https://en.wikipedia.org/wiki/Something_Special_(TV_series)
The Joy of Painting,https://en.wikipedia.org/wiki/The_Joy_of_Painting
I Can Cook,https://en.wikipedia.org/wiki/I_Can_Cook
"Big Cook, Little Cook","https://en.wikipedia.org/wiki/Big_Cook,_Little_Cook"
Balamory,https://en.wikipedia.org/wiki/Balamory
Show Me Show Me,https://en.wikipedia.org/wiki/Show_Me_Show_Me
The World of Peter Rabbit and Friends,https://en.wikipedia.org/wiki/The_World_of_Peter_Rabbit_and_Friends
Gravity Falls,https://en.wikipedia.org/wiki/Gravity_Falls
We Bare Bears,https://en.wikipedia.org/wiki/We_Bare_Bears
Adventure Time,https://en.wikipedia.org/wiki/Adventure_Time
Looney Tunes Golden Collection,https://en.wikipedia.org/wiki/Looney_Tunes_Golden_Collection
The Jetsons,https://en.wikipedia.org/wiki/The_Jetsons
Teenage Mutant Ninja Turtles,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles
Me Too!,https://en.wikipedia.org/wiki/Me_Too!_(British_TV_series)
Jungle Run,https://en.wikipedia.org/wiki/Jungle_Run
Grizzly Tales for Gruesome Kids,https://en.wikipedia.org/wiki/Grizzly_Tales_for_Gruesome_Kids_(TV_series)
Horrid Henry,https://en.wikipedia.org/wiki/Horrid_Henry_(TV_series)
Spider-Man,https://en.wikipedia.org/wiki/Spider-Man_(1994_TV_series)
Batman: The Animated Series,https://en.wikipedia.org/wiki/Batman:_The_Animated_Series
The New Batman Adventures,https://en.wikipedia.org/wiki/The_New_Batman_Adventures
Batman Beyond,https://en.wikipedia.org/wiki/Batman_Beyond
Brum,https://en.wikipedia.org/wiki/Brum_(TV_series)
Total Drama Island,https://en.wikipedia.org/wiki/Total_Drama_Island
