title,media_type,collection,wikipedia_link
Brainiac: Science Abuse,TV Series,,https://en.wikipedia.org/wiki/Brainiac:_Science_Abuse
Horrible Histories,TV Series,Horrible Histories,https://en.wikipedia.org/wiki/Horrible_Histories_(2009_TV_series)
Operation Ouch!,TV Series,,https://en.wikipedia.org/wiki/Operation_Ouch!
Freaks and Geeks,TV Series,,https://en.wikipedia.org/wiki/Freaks_and_Geeks
Danger Mouse,TV Series,,https://en.wikipedia.org/wiki/Danger_Mouse_(2015_TV_series)
OOglies,TV Series,,https://en.wikipedia.org/wiki/OOglies
The Cramp Twins,TV Series,,https://en.wikipedia.org/wiki/The_Cramp_Twins
Robotboy,TV Series,,https://en.wikipedia.org/wiki/Robotboy
Kid vs. Kat,TV Series,,https://en.wikipedia.org/wiki/Kid_vs._Kat
Johnny Test,TV Series,,https://en.wikipedia.org/wiki/Johnny_Test
¡Mucha Lucha!,TV Series,,https://en.wikipedia.org/wiki/%C2%A1Mucha_Lucha!
Wallace & Gromit's Cracking Contraptions,TV Series,Aardman Animations,https://en.wikipedia.org/wiki/Wallace_and_Gromit%27s_Cracking_Contraptions
Wallace and Gromit's World of Invention,TV Series,Aardman Animations,https://en.wikipedia.org/wiki/Wallace_and_Gromit%27s_World_of_Invention
Shaun the Sheep,TV Series,Aardman Animations,https://en.wikipedia.org/wiki/Shaun_the_Sheep
Timmy Time,TV Series,Aardman Animations,https://en.wikipedia.org/wiki/Timmy_Time
Bluey,TV Series,,https://en.wikipedia.org/wiki/Bluey_(2018_TV_series)
Little Einsteins,TV Series,,https://en.wikipedia.org/wiki/Little_Einsteins
Sesame Street,TV Series,Jim Henson,https://en.wikipedia.org/wiki/Sesame_Street
Arthur,TV Series,,https://en.wikipedia.org/wiki/Arthur_(TV_series)
Bill Nye the Science Guy,TV Series,,https://en.wikipedia.org/wiki/Bill_Nye_the_Science_Guy
Pingu,TV Series,,https://en.wikipedia.org/wiki/Pingu
Charlie and Lola,TV Series,,https://en.wikipedia.org/wiki/Charlie_and_Lola_(TV_series)
SpongeBob SquarePants,TV Series,,https://en.wikipedia.org/wiki/SpongeBob_SquarePants
Dora the Explorer,TV Series,,https://en.wikipedia.org/wiki/Dora_the_Explorer
Blue's Clues,TV Series,,https://en.wikipedia.org/wiki/Blue%27s_Clues
Backyard Science,TV Series,,https://en.wikipedia.org/wiki/Backyard_Science
Art Attack,TV Series,,https://en.wikipedia.org/wiki/Art_Attack
Phineas and Ferb,TV Series,Disney,https://en.wikipedia.org/wiki/Phineas_and_Ferb
Power Rangers,TV Series,,https://en.wikipedia.org/wiki/Power_Rangers
The Story of Tracy Beaker,TV Series,Jacqueline Wilson,https://en.wikipedia.org/wiki/The_Story_of_Tracy_Beaker_(TV_series)
Tracy Beaker Returns,TV Series,Jacqueline Wilson,https://en.wikipedia.org/wiki/Tracy_Beaker_Returns
The Dumping Ground,TV Series,Jacqueline Wilson,https://en.wikipedia.org/wiki/The_Dumping_Ground
The Sarah Jane Adventures,TV Series,Doctor Who,https://en.wikipedia.org/wiki/The_Sarah_Jane_Adventures
Dani's House,TV Series,,https://en.wikipedia.org/wiki/Dani%27s_House
Drake & Josh,TV Series,Dan Schneider,https://en.wikipedia.org/wiki/Drake_%26_Josh
iCarly,TV Series,Dan Schneider,https://en.wikipedia.org/wiki/ICarly
Victorious,TV Series,Dan Schneider,https://en.wikipedia.org/wiki/Victorious
That's So Raven,TV Series,Disney,https://en.wikipedia.org/wiki/That%27s_So_Raven
Raven's Home,TV Series,Disney,https://en.wikipedia.org/wiki/Raven%27s_Home
The Suite Life of Zack & Cody,TV Series,Disney,https://en.wikipedia.org/wiki/The_Suite_Life_of_Zack_%26_Cody
The Suite Life on Deck,TV Series,Disney,https://en.wikipedia.org/wiki/The_Suite_Life_on_Deck
Wizards of Waverly Place,TV Series,Disney,https://en.wikipedia.org/wiki/Wizards_of_Waverly_Place
Good Luck Charlie,TV Series,Disney,https://en.wikipedia.org/wiki/Good_Luck_Charlie
4 O'Clock Club,TV Series,,https://en.wikipedia.org/wiki/4_O%27Clock_Club
"Scooby-Doo, Where Are You!",TV Series,Hanna-Barbera,"https://en.wikipedia.org/wiki/Scooby-Doo,_Where_Are_You!"
The New Scooby-Doo Movies,TV Series,Hanna-Barbera,https://en.wikipedia.org/wiki/The_New_Scooby-Doo_Movies
